POREWATER,,,,,,,,,,,,,,WATER COLUMN,,,,,,,,,,Solid phase,,,,,,,IAPSO,,,,C14,,,,
"Porewater data: alkalinity (Fig 4), DIC (Fig 5), 13C (Fig 6), Ca (Fig 7), in situ pH (Fig 8), Mn (Fig 9), Omega_calcite (Fig 11), Sr (Fig 12), and Keeling analysis (Fig S.3)",,,,,,,,,,,,,,Water column dataa of dissolved oxygen and omega_calcite (Fig 2) and water column DIC comparison (Fig S.2),,,,,,,,,,Solid phase data from cores (Fig 10),,,,,,,IAPSO seawater standards (Fig S.1),,,,Foram C14  calendar ages (Fig S.4),,,,
Sample ID,Station,Water Column Depth (m),Sediment Depth (cm),Alkalinity (μmol/kg),pH (in situ),Silica (μM),DIC (μmol/kg),𝛿13C of DIC (‰),Mn +2 (μmol/kg),Ca +2 (mM),Sr +2 (mM),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Pressure (decibars),Temperature (°C),Salinty (ppt),Alkalinity (μmol/kg),pH input (lab),DIC (μmol/kg),Omega_calcite (pH/Alk),,Station,Water Column Depth (m),Sediment Depth (cm),Porosity (%),% CaCO3,% Organic C,,Ca (mmol/kg),Sr (umol/kg),Na (mmol/kg),,Station,Water Column Depth (m),Sediment Depth (cm),Foram species,C14 calendar age (yr)
CR1-1-16a,1,3223,22.9,n.d.,n.d.,n.d.,2716,n.d.,n.d.,n.d.,n.d.,n.d.,,1,1500.45,1514.33,3.2,34.61,2391.03,7.425,2358.1,0.96,,1,3223,26,86.14,18.15,1.06,,10.36,81.7,469.1,,5,2911,9.5,N. dutertrei,7325
CR1-1-17,1,3223,27.9,2827.06,7.721,381.4,2767.7,-1.88,49.79,n.d.,n.d.,0.97,,1,1401.35,1413.98,3.41,34.6,2392.16,7.424,n.d.,0.98,,1,3223,27.5,86.74,14.96,1.05,,10.34,81.3,470.8,,5,2911,9.5,T. sacculifer,7579
CR1-1-18a,1,3223,33,n.d.,n.d.,n.d.,2806.1,n.d.,n.d.,n.d.,n.d.,n.d.,,1,1300.43,1311.84,3.7,34.59,2381.73,7.416,2363.5,0.98,,2,2650,0.5,87.64,62.69,0.41,,10.5,82.4,477.6,,,,,,
CR1-1-37,1,3223,3.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1,1200.37,1210.6,3.98,34.59,2377.62,7.408,2359.4,0.98,,2,2650,1.5,85.45,58.03,0.48,,10.32,80.4,470.1,,,,,,
CR1-1-38,1,3223,4.1,2542.96,7.531,255.2,2531.1,-1.11,0.01,n.d.,n.d.,0.58,,1,966.16,973.85,4.89,34.57,2355.07,7.376,2344.6,0.96,,2,2650,2.5,83.01,59.09,0.34,,10.31,81.4,468.9,,,,,,
CR1-1-39a,1,3223,4.6,2503.33,n.d.,262,2507.9,n.d.,n.d.,n.d.,n.d.,n.d.,,1,801.72,807.78,5.72,34.57,2339.18,7.347,2342.1,0.93,,2,2650,3.5,79.84,59.48,0.43,,10.24,81.8,467.9,,,,,,
CR1-1-40,1,3223,5.1,2502.62,7.533,262.3,2542.1,-1.14,0.01,n.d.,n.d.,0.57,,1,4.32,4.34,26.59,32.78,2160.05,8.008,n.d.,4.5,,2,2650,4.5,78.8,60.29,0.26,,10.28,83.8,466.9,,,,,,
CR1-1-41a,1,3223,5.6,2637.11,n.d.,274.5,2549.1,n.d.,n.d.,n.d.,n.d.,n.d.,,1,4.44,4.47,26.58,32.78,n.d.,n.d.,n.d.,n.d.,,2,2650,5.5,79.28,60.9,0.48,,,,,,,,,,
CR1-1-42,1,3223,10.6,2662.23,7.585,329.9,2635.3,-1.56,14.65,n.d.,n.d.,0.68,,1,1100.92,1110.04,4.23,34.58,2370.68,7.406,n.d.,1,,2,2650,6.5,78.35,62.87,0.2,,,,,,,,,,
CR1-1-43a,1,3223,11.6,2720.42,n.d.,321.9,2674.7,n.d.,n.d.,n.d.,n.d.,n.d.,,1,1000.39,1008.43,4.62,34.57,2359.56,7.391,2329.7,0.99,,2,2650,7.5,77.72,60.32,0.34,,,,,,,,,,
CR1-1-44,1,3223,12.6,2692.01,7.619,319.8,2638,-1.51,17.05,n.d.,n.d.,0.74,,1,900.33,907.35,4.99,34.57,2353.27,7.364,n.d.,0.94,,2,2650,9,77.7,61.37,0.37,,,,,,,,,,
CR1-1-55,1,3223,1,2530.17,7.592,232,2487.6,-0.76,0.01,n.d.,n.d.,0.66,,1,701.41,706.54,6.2,34.57,2334.87,7.344,2332.2,0.94,,2,2650,11,77.77,61.92,0.41,,,,,,,,,,
CR1-1-56,1,3223,3,2508.29,7.582,234,2479.7,-0.63,0.01,n.d.,n.d.,0.64,,1,600.47,604.71,7.03,34.59,2324.76,7.346,2315.7,0.97,,2,2650,13,77.77,64.36,0.59,,,,,,,,,,
CR1-1-57,1,3223,5,2515.7,7.628,213.6,2451.9,-0.54,0.1,n.d.,n.d.,0.71,,1,575.34,579.37,7.16,34.6,2329.78,7.344,n.d.,0.98,,2,2650,15,78.03,61.84,0.45,,,,,,,,,,
CR1-1-58,1,3223,7,2640.43,7.698,260.5,2570.5,-1.04,24.3,n.d.,n.d.,0.87,,1,500.88,504.29,7.89,34.61,2322.96,7.344,2316.6,1,,2,2650,17,78.7,62.72,0.51,,,,,,,,,,
CR1-1-59,1,3223,9,2561.79,7.727,240.1,2525.7,-0.88,21.04,n.d.,n.d.,0.89,,1,426.57,429.4,9.31,34.67,2312.97,7.364,2306.3,1.08,,2,2650,19,78.26,64.38,0.4,,,,,,,,,,
CR1-1-60,1,3223,11,2769.73,7.688,354.2,2718.8,-1.62,37.2,n.d.,n.d.,0.89,,1,350.74,353,10.68,34.74,2303.77,7.408,n.d.,1.22,,2,2650,21,78.58,62.57,0.33,,,,,,,,,,
CR1-1-61,1,3223,15,2796.34,7.641,369.3,2759.1,-1.74,28,n.d.,n.d.,0.81,,1,301.09,303,11.52,34.78,2301.2,7.43,2276.5,1.31,,2,2650,23,78.99,62.89,0.33,,,,,,,,,,
CR1-1-62,1,3223,19,2786.06,7.57,366,2728.8,-1.77,15.21,n.d.,n.d.,0.69,,1,250.59,252.15,12.41,34.83,2298.38,7.462,n.d.,1.43,,2,2650,25,79.19,58.77,0.68,,,,,,,,,,
CR1-2-19,1,3223,7.2,2480.23,7.489,330.9,2641,-1.46,0.06,10.43,85.53,0.52,,1,250.85,252.41,12.4,34.83,n.d.,n.d.,n.d.,n.d.,,2,2650,27,80.3,60.15,0.64,,,,,,,,,,
CR1-2-20a,1,3223,8.2,2631.23,n.d.,323.8,2586.5,n.d.,n.d.,n.d.,n.d.,n.d.,,1,200.92,202.14,13.08,34.86,2299.62,7.527,2226,1.69,,2,2650,29,79.92,60.21,0.81,,,,,,,,,,
CR1-2-21,1,3223,9.2,2695.94,7.531,334,2666.1,-1.43,0.04,10.43,85.78,0.61,,1,175.6,176.66,13.46,34.9,2299.48,7.533,n.d.,1.72,,2,2650,31,81.09,60.03,0.87,,,,,,,,,,
CR1-2-22a,1,3223,10.2,2669.07,n.d.,333.8,2618.1,n.d.,n.d.,n.d.,n.d.,n.d.,,1,149.77,150.66,13.67,34.92,2299.25,7.545,2226.2,1.78,,2,2650,33,82.35,58.86,0.72,,,,,,,,,,
CR1-2-23a,1,3223,11.2,2657.94,n.d.,328.7,2605.9,n.d.,n.d.,n.d.,n.d.,n.d.,,1,125.94,126.68,13.81,34.91,2300.04,7.526,n.d.,1.72,,2,2650,35,82.27,57.65,0.83,,,,,,,,,,
CR1-2-24,1,3223,19.2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,1,100.76,101.35,14.23,34.94,2298.1,7.565,2214.8,1.89,,2,2650,37,82.24,58.86,0.73,,,,,,,,,,
CR1-2-25,1,3223,24.2,2861.94,7.686,379.4,2741,-1.83,59.28,n.d.,n.d.,0.92,,1,101.31,101.91,14.23,34.94,n.d.,n.d.,n.d.,n.d.,,3,1630,0.5,82.87,77.88,0.47,,,,,,,,,,
CR1-2-26a,1,3223,29.2,2798.46,n.d.,370.1,2669.4,n.d.,n.d.,n.d.,n.d.,n.d.,,1,80.84,81.31,14.59,34.92,2298.44,7.576,n.d.,1.95,,3,1630,1.5,78.63,77.56,0.39,,,,,,,,,,
CR1-2-27,1,3223,34.2,2812.85,7.619,389.5,2759.2,-2.07,59.58,10.44,85.81,0.78,,1,60.62,60.97,15.65,34.88,2300.79,7.591,2200.5,2.03,,3,1630,2.5,76.84,77.58,0.38,,,,,,,,,,
